Country,City,CityId,Latitude,Longitude
Belgium,As,2313,51.008661000,5.584697000
Belgium,Asse,2314,50.907273000,4.215299000
Belgium,Assenede,2315,51.227188000,3.714860000
Belgium,Assesse,2316,50.375418000,4.993046000
Belgium,Ath,2317,50.639315000,3.772792000
Belgium,Attert,2318,49.745513000,5.757426000
Belgium,Aubange,2319,49.574875000,5.777243000
Belgium,Aubel,2320,50.700461000,5.851286000
Belgium,Avelgem,2321,50.777684000,3.453751000
Belgium,Awans,2322,50.692769000,5.455189000
Belgium,Aywaille,2323,50.457631000,5.701465000
Belgium,Baarle-Hertog,2324,51.405652000,4.893300000
Belgium,Baelen,2325,50.583089000,6.044831000
Belgium,Balen,2326,51.158582000,5.183022000
Belgium,Bassenge,2327,50.765566000,5.610004000
Belgium,Bastogne,2328,50.015715000,5.761658000
Belgium,Beaumont,2329,50.229205000,4.259197000
Belgium,Beauraing,2330,50.093049000,4.952524000
Belgium,Beauvechain,2331,50.776089000,4.764525000
Belgium,Beernem,2332,51.150718000,3.336675000
Belgium,Beerse,2333,51.314356000,4.823269000
Belgium,Beersel,2334,50.750529000,4.302013000
Belgium,Begijnendijk,2335,51.007093000,4.784683000
Belgium,Bekkevoort,2336,50.934413000,4.978069000
Belgium,Beloeil,2337,50.532462000,3.688835000
Belgium,Beringen,2338,51.065466000,5.236087000
Belgium,Berlaar,2339,51.107208000,4.656183000
Belgium,Berlare,2340,51.036264000,3.979232000
Belgium,Berloz,2341,50.703770000,5.203184000
Belgium,Bernissart,2342,50.479426000,3.686558000
Belgium,Bertem,2343,50.853767000,4.609828000
Belgium,Bertogne,2344,50.063233000,5.646412000
Belgium,Bertrix,2345,49.854010000,5.246482000
Belgium,Bever,2346,50.710715000,3.932181000
Belgium,Beveren,2347,51.254527000,4.236683000
Belgium,Beyne-Heusay,2348,50.628525000,5.661649000
Belgium,Bierbeek,2349,50.830090000,4.767388000
